Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
FLWS,"1-800 FLOWERS.COM, Inc.",9.28,607211354.2,n/a,1999,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/flws
SRCE,1st Source Corporation,35.34,914135680.6,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/srce
VNET,"21Vianet Group, Inc.",9.37,514051655.3,54861436,2011,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/vnet
XXII,"22nd Century Group, Inc",1.05,86308018.65,n/a,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/xxii
TWOU,"2U, Inc.",35.79,1677840891,n/a,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/twou
DDD,3D Systems Corporation,14.92,1674134393,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ddd
MMM,3M Company,180.81,1.09282E+11,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/mmm
WBAI,500.com Limited,18.44,763875063.8,n/a,2013,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/wbai
JOBS,"51job, Inc.",33.33,921316859.1,27642270,2004,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/jobs
WUBA,58.com Inc.,47.17,6798421863,n/a,2013,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/wuba
CAFD,8point3 Energy Partners LP,15.56,1104988078,n/a,2015,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/cafd
EGHT,8x8 Inc,13.48,1208898060,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/eght
AVHI,"A V Homes, Inc.",16.08,364444163,n/a,n/a,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/avhi
SHLM,"A. Schulman, Inc.",26.51,780172916.8,n/a,1972,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/shlm
AHC,A.H. Belo Corporation,6.15,133308999,n/a,n/a,Consumer Services,Newspapers/Magazines,http://www.nasdaq.com/symbol/ahc
ATEN,"A10 Networks, Inc.",10.07,662333445.4,n/a,2014,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/aten
AAC,"AAC Holdings, Inc.",20.05,475210824.4,n/a,2014,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/aac
AAON,"AAON, Inc.",28.99,1534288937,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aaon
AIR,AAR Corp.,29.03,1007301316,n/a,n/a,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/air
AAN,"Aaron&#39;s,  Inc.",24.78,1798490299,n/a,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/aan
ABAX,"ABAXIS, Inc.",49.5,1115383500,n/a,1992,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/abax
ABB,ABB Ltd,22.21,47240642038,n/a,n/a,Consumer Durables,Electrical Products,http://www.nasdaq.com/symbol/abb
ABT,Abbott Laboratories,42.09,61872107017,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abt
ABBV,AbbVie Inc.,64.12,1.04422E+11,n/a,2012,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abbv
ANF,Abercrombie & Fitch Company,17.02,1150838498,n/a,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/anf
FAX,Aberdeen Asia-Pacific Income Fund Inc,5.22,1337933700,n/a,1986,n/a,n/a,http://www.nasdaq.com/symbol/fax
IAF,Aberdeen Australia Equity Fund Inc,5.83,132742133.2,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/iaf
CH,"Aberdeen Chile Fund, Inc.",6.4,60073580.8,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ch
ABE           ,Aberdeen Emerging Markets Smaller Company Opportunities Fund I,12.64,122336619.2,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abe
FCO,"Aberdeen Global Income Fund, Inc.",9.06,79402365.48,n/a,1992,n/a,n/a,http://www.nasdaq.com/symbol/fco
GCH,"Aberdeen Greater China Fund, Inc.",9.2,83344161.6,n/a,1992,n/a,n/a,http://www.nasdaq.com/symbol/gch
IF,"Aberdeen Indonesia Fund, Inc.",6.83,64620317.01,n/a,1990,n/a,n/a,http://www.nasdaq.com/symbol/if
ISL,"Aberdeen Israel Fund, Inc.",16.8584,68003498.21,n/a,1992,n/a,n/a,http://www.nasdaq.com/symbol/isl
JEQ,"Aberdeen Japan Equity Fund, Inc. ",8.15,110844368.4,n/a,1992,n/a,n/a,http://www.nasdaq.com/symbol/jeq
SGF,"Aberdeen Singapore Fund, Inc.",9.151,69756773.56,n/a,1990,n/a,n/a,http://www.nasdaq.com/symbol/sgf
ABMD,"ABIOMED, Inc.",117.43,5053522664,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/abmd
ABM,ABM Industries Incorporated,38.91,2176003190,n/a,n/a,Finance,Diversified Commercial Services,http://www.nasdaq.com/symbol/abm
ACIA,"Acacia Communications, Inc.",113.14,4051305014,n/a,2016,Technology,Semiconductors,http://www.nasdaq.com/symbol/acia
ACTG,Acacia Research Corporation,7,352683226,n/a,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/actg
ACHC,"Acadia Healthcare Company, Inc.",51.61,4511582080,n/a,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/achc
ACAD,ACADIA Pharmaceuticals Inc.,31.59,3601438926,n/a,1985,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acad
AKR,Acadia Realty Trust,36.99,2799059008,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/akr
ACST,"Acasti Pharma, Inc.",1.345,14407691.11,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acst
ACN,Accenture plc,115.66,74569300276,n/a,2001,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/acn
ACCO,Acco Brands Corporation,10.34,1108376054,n/a,n/a,Consumer Durables,Publishing,http://www.nasdaq.com/symbol/acco
ARAY,Accuray Incorporated,5.42,442134830.6,n/a,2007,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/aray
ACW,Accuride Corporation New,2.58,124465603.6,n/a,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/acw
OILD,AccuShares S&P GSCI Crude Oil Excess Return Down Shares,23.15,2315463,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/oild
OILU,AccuShares S&P GSCI Crude Oil Excess Return Up Shares,25.25,2525505,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/oilu
VXDN,AccuShares Spot CBOE VIX Down Shares,4.42,567329.1,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vxdn
VXUP,AccuShares Spot CBOE VIX Up Shares,4.3001,551939.3355,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vxup
ACET,Aceto Corporation,20,592973280,n/a,n/a,Health Care,Other Pharmaceuticals,http://www.nasdaq.com/symbol/acet
ACHN,"Achillion Pharmaceuticals, Inc.",8.12,1109848811,n/a,2006,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/achn
ACIW,"ACI Worldwide, Inc.",19.54,2289535839,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/aciw
ACRS,"Aclaris Therapeutics, Inc.",20.86,446725181.4,n/a,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrs
ACU,Acme United Corporation.,20.84,69250278,n/a,1988,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/acu
ACOR,"Acorda Therapeutics, Inc.",24.27,1119815373,n/a,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/acor
ATV,"Acorn International, Inc.",7.8339,29976857.05,n/a,2007,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/atv
AIII,"ACRE Realty Investors, Inc.",1.33,27217368.71,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/aiii
ATNM,"Actinium Pharmaceuticals, Inc.",1.7,81119148.2,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/atnm
ACTS,"Actions Semiconductor Co., Ltd.",2.05,47356283.3,23100626,2005,Technology,Semiconductors,http://www.nasdaq.com/symbol/acts
ATVI,"Activision Blizzard, Inc",42.8,31734790254,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/atvi
ACTA,Actua Corporation,10.59,418392081.6,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acta
ATU,Actuant Corporation,24.23,1427833921,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/atu
AYI,Acuity Brands Inc,274,12025059372,n/a,n/a,Consumer Durables,Building Products,http://www.nasdaq.com/symbol/ayi
ACXM,Acxiom Corporation,26.405,2043986071,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acxm
